month,hjgjhg,jghjhgj,jhgjhg,fhh
1,2/85%,46.084.500,0,-46.084.500
2,4/34%,70.177.800,0,-70.177.800
3,3/87%,62.577.900,0,-62.577.900
4,3/71%,59.990.700,0,-59.990.700
5,3/70%,59.829.000,0,-59.829.000
6,3/70%,59.829.000,0,-59.829.000
7,7/41%,119.819.700,0,-119.819.700
8,6/15%,99.445.500,0,-99.445.500
9,12/92%,208.916.400,0,-208.916.400
10,7/88%,127.419.600,0,-127.419.600
11,5/78%,93.462.600,0,-93.462.600
12,1/42%,22.961.400,0,-22.961.400
13,0/00%,0,0,0
14,0/00%,0,50.000.000,50.000.000
15,0/00%,0,50.000.000,50.000.000
16,0/00%,0,50.000.000,50.000.000
17,0/00%,0,50.000.000,50.000.000
18,0/00%,0,50.000.000,50.000.000
19,0/00%,0,50.000.000,50.000.000
20,0/00%,0,50.000.000,50.000.000
21,0/00%,0,50.000.000,50.000.000
22,0/00%,0,50.000.000,50.000.000
23,0/00%,0,50.000.000,50.000.000
24,0/00%,0,50.000.000,50.000.000
25,0/00%,0,50.000.000,50.000.000
26,0/00%,0,50.000.000,50.000.000
27,0/00%,0,50.000.000,50.000.000
28,0/00%,0,50.000.000,50.000.000
29,0/00%,0,50.000.000,50.000.000
30,0/00%,0,50.000.000,50.000.000
31,0/00%,0,50.000.000,50.000.000
32,0/00%,0,50.000.000,50.000.000
33,0/00%,0,50.000.000,50.000.000
34,0/00%,0,50.000.000,50.000.000
35,0/00%,0,50.000.000,50.000.000
36,0/00%,0,50.000.000,50.000.000
37,0/00%,0,50.000.000,50.000.000
38,0/00%,0,50.000.000,50.000.000
39,0/00%,0,50.000.000,50.000.000
40,0/00%,0,58.659.361,58.659.361
41,0/00%,0,100.000.000,100.000.000
42,0/00%,0,30.000.000,30.000.000
