month,hjgjhg,jghjhgj,jhgjhg,fhh
1,0/00%,0,0,0,
2,0/00%,0,0,0,
3,0/00%,0,0,0,
4,0/00%,0,0,0,
5,0/00%,0,0,0,
6,0/00%,0,0,0,
7,0/00%,0,0,0,
8,1/10%,17.787.000,0,-17.787.000,
9,1/10%,17.787.000,0,-17.787.000,
10,1/10%,17.787.000,0,-17.787.000,
11,1/11%,17.948.700,0,-17.948.700,
12,1/10%,17.787.000,0,-17.787.000,
13,5/83%,94.271.100,0,-94.271.100,
14,1/31%,21.182.700,0,-21.182.700,
15,6/28%,101.547.600,0,-101.547.600,
16,2/05%,33.148.500,0,-33.148.500,
17,5/83%,94.271.100,0,-94.271.100,
18,0/93%,15.038.100,0,-15.038.100,
19,4/83%,78.101.100,0,-78.101.100,
20,0/41%,6.629.700,0,-6.629.700,
21,2/06%,33.310.200,0,-33.310.200,
22,0/06%,970.200,0,-970.200,
23,0/61%,9.863.700,0,-9.863.700,
24,0/56%,9.055.200,0,-9.055.200,
25,0/00%,0,50.000.000,50.000.000,
26,0/00%,0,50.000.000,50.000.000,
27,0/00%,0,50.000.000,50.000.000,
28,0/00%,0,50.000.000,50.000.000,
29,0/00%,0,50.000.000,50.000.000,
30,0/00%,0,50.000.000,50.000.000,
31,0/00%,0,50.000.000,50.000.000,
32,0/00%,0,50.000.000,50.000.000,
33,0/00%,0,50.000.000,50.000.000,
34,0/00%,0,50.000.000,50.000.000,
35,0/00%,0,50.000.000,50.000.000,
36,0/00%,0,50.000.000,50.000.000,
37,0/00%,0,50.000.000,50.000.000,
38,0/00%,0,50.000.000,50.000.000,
39,0/00%,0,50.000.000,50.000.000,
40,0/00%,0,41.340.639,41.340.639,
41,0/00%,0,0,0,
42,0/00%,0,0,0,
