a,s,d,f,g,h,j,l,z,x,c,v,b,n,m
اقساط مربوط به خطوط,اقساط مربوط به تاسیسات تقویت فشار,,گستره دزفول کوهدشت و ایستگاه کنترل فشار دزفول,گستره کوهدشت بیستون و ایستگاه کنترل فشار دهگلان,گستره بیستون کرمانشاه (34 کیلومتر) و ایستگاه کنترل فشار بیستون,گستره کوهدشت چارمله و ایستگاه کنترل فشار کوهدشت و مخابرات,گستره اهواز خرمشهر و شملچه و ایستگاه کنترل فشار خرمشهر و ایستگاه اندازه گیری شلمچه,مجموع پرداخت شده به خطوط,تاسیسات تقویت فشار اهواز,تاسیسات تقویت فشار حسینیه,تاسیسات تقویت فشار کوهدشت,تاسیسات تقویت فشار دیلم,تاسیسات تقویت فشار بیدبلند,مجموع پرداخت شده به ایستگاه ها
,,وزن مالی,16.83%,15.10%,1.75%,14.10%,15.95%,0.00%,7.69%,7.69%,6.96%,6.96%,6.96%,0.00%
50.000.000,0,قسط 1,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 2,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 3,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 4,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 5,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 6,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 7,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 8,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 9,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 10,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,0,قسط 11,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,0,0,0,0,0,0
50.000.000,50.000.000,قسط 12,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.497,9.599.669,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 13,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.497,9.599.669,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 14,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.497,9.599.669,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 15,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.669,9.599.669,9.599.670,50.000.000
50.000.000,50.000.000,قسط 16,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.669,9.599.669,9.599.670,50.000.000
50.000.000,50.000.000,قسط 17,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.669,9.599.669,9.599.670,50.000.000
50.000.000,50.000.000,قسط 18,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.669,9.599.670,9.599.669,50.000.000
50.000.000,50.000.000,قسط 19,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.669,9.599.670,9.599.669,50.000.000
50.000.000,50.000.000,قسط 20,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.669,9.599.670,9.599.669,50.000.000
50.000.000,50.000.000,قسط 21,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.670,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 22,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.670,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 23,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.496,10.600.496,9.599.670,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 24,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.497,10.600.496,9.599.669,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 25,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.497,10.600.496,9.599.669,9.599.669,9.599.669,50.000.000
50.000.000,50.000.000,قسط 26,13.204.142,11.846.854,1.372.980,11.062.294,12.513.730,50.000.000,10.600.497,10.600.496,9.599.669,9.599.669,9.599.669,50.000.000
58.659.361,41.340.639,قسط 27,15.490.931,13.898.578,1.610.762,12.978.142,14.680.948,58.659.361,8.764.627,8.764.627,7.937.128,7.937.128,7.937.129,41.340.639
100.000.000,0,قسط 28,26.408.285,23.693.708,2.745.959,22.124.588,25.027.460,100.000.000,0,0,0,0,0,0
30.000.000,0,قسط 29,7.922.498,7.108.110,823.782,6.637.378,7.508.232,30.000.000,0,0,0,0,0,0
1.488.659.361,791.340.639,جمع مالی هر گستره,393.129.406,352.718.600,40.877.983,329.359.752,372.573.620,1.488.659.361,167.772.070,167.772.070,151.932.166,151.932.166,151.932.167,791.340.639
